AAMIR KHAN,I do what I feel is right. I am not scared to walk on the new path and take risk.
ANGELINA JOLIE,"If I make a fool of myself, who cares? I'm not frightened by anyone's perception of me."
ARJUN RAMPAL,Your attitude is more important than stylish clothes. This comes from believing in yourself. This attitude can define your life.
ASHTON KUTCHER,"I'm continually trying to make choices that put me against my own comfort zone. As long as you're uncomfortable, it means you're growing."
BETTE DAVIS,"Without wonder and insight, acting is just a business. With it, it becomes creation."
BRADLEY COOPER,"I think if you live in a black-and-white world, you're gonna suffer a lot. I used to be like that. But I don't believe that anymore.'"
BRUCE LEE,"Knowing is not enough, we must apply. Willing is not enough, we must do."
CAMERON DIAZ,"Your regrets aren't what you did, but what you didn't do. So take every opportunity."
CHANNING TATUM,"Life is too short to miss out on the beautiful things, like a double cheeseburger."
CHRIS PINE,"Ignore the naysayers. Really the only option is, head down and focus on the job."
CHUCK NORRIS,A lot of people give up just before they're about to make it. You know you never know when that next obstacle is going to be the last one.
CLINT EASTWOOD,"Respect your efforts, respect yourself. Self-respect leads to self-discipline. When you have both firmly under your belt, that's real power."
DENZEL WASHINGTON,Goals on the road to achievement cannot be achieved without discipline and consistency.
DREW BARRYMORE,"Life is very interesting' in the end, some of your greatest pains, become your greatest strengths"
DWAYNE JOHNSON,"Success isn't always about 'Greatness', it's about consistency. Consistent, hard work gains success. Greatness will come."
EMMA STONE,I can't think of any better representation of beauty than someone who is unafraid to be herself.
FARHAN AKHTAR,"I like to make films with characters that resemble real people, about societies that exist."
GEENA DAVIS,"If you risk nothing, then you risk everything."
HRITHIK ROSHAN,Life is about enjoying your success! Success is nothing but weaknesses turned inside-out.
IRRFAN KHAN,Language does not make someone elite
JACK NICHOLSON,The minute that you're not learning I believe you're dead.
JAMES CAAN,The most talented people are always the nicest.
JAMES DEAN,Dream as if you'll live forever. Live as if you'll die today.
JAMES FRANCO,They say living well is the best revenge but sometimes writing well is even better.
JANE FONDA,"It's never too late ' never too late to start over, never too late to be happy."
JARED LETO,"Try and fail, but never fail to try."
JENNIFER ANISTON,There are no regrets in life. Just lessons.
JENNIFER LAWRENCE,I'm a big believer in accepting yourself and not really worrying about it.
JIM CARREY,I think everybody should get rich and famous and do everything they ever dreamed of so they can see that it's not the answer.
JON HAMM,"Don't be afraid to fail. It's not the end of the world, and in many ways, it's the first step towards learning something and getting better at it."
KEVIN BACON,"If you're an actor, even a successful one, you're still waiting for the phone to ring."
LANA TURNER,A gentleman is simply a patient wolf.
LEONARDO DICAPRIO,"If you can do what you do best and be happy, you are further along in life than most people."
MARILYN MONROE,"Always, always, always believe in yourself. Because if you don't, then who will, sweetie?"
NEIL PATRICK HARRIS,Sometimes you can have the smallest role in the smallest production and still have a big impact.
NICOLAS CAGE,I care about the connection with the audience. Film is such a powerful medium. Movies can change the way people think.
R. MADHAVAN,Don't waste too much time analyzing what went wrong. Reliving your failures only chips away at your confidence.
RANVEER SINGH,You will never win if you don't deal with your work ethically. All that you need to do is to stick to your principles; morals are relative.
ROBIN WILLIAMS,There is still a lot to learn and there is always great stuff out there. Even mistakes can be wonderful.
ROBIN WILLIAMS,You're only given a little spark of madness. You mustn't lose it.
RYAN GOSLING,"I've learned it's important not to limit yourself. You can do whatever you really love to do, no matter what it is."
SARAH SILVERMAN,"If you live in the past that's depression, and if you live in the future that's anxiety. So you have no choice but to live in the present."
SHAHRUKH KHAN,"If you want to become something, achieve something in life, then always listen to your heart."
STEVEN SPIELBERG,People have forgotten how to tell a story. Stories don't have a middle or an end any more. They usually have a beginning that never stops beginning.
SYLVESTER STALLONE,I'believe there's an inner power that makes winners or losers. And the winners are the ones who really listen to the truth of their hearts.
TOM HANKS,From now on we live in a world where man has walked on the Moon. It's not a miracle; we just decided to go.
TOM HARDY,It doesn't matter who you are. What matters is your plan.
WILL SMITH,I want to represent the idea that you really can make what you want ' I believe I can create whatever I want to create.
WILL SMITH,Being realistic is the most commonly traveled road to mediocrity
WOODY ALLEN,Eighty percent of success is showing up.
